"V1";"V2";"V3";"V4"
"Will Republicans increase their majority in the U.S. House?";"More GOP in the House?";"Will Republicans increase their majority in the U.S. House?";"Will Republicans increase their majority in the U.S. House?"
"Will the Democrats keep control of the Senate?";"Will the Democrats keep control of the Senate?";"Will the Democrats keep control of the Senate?";"Will the Democrats keep control of the Senate?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Hillary Clinton";"Clinton"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Joe Biden";"Biden"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Elizabeth Warren";"Warren"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Martin O'Malley";"O'Malley"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Jerry Brown";"Brown"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Bernie Sanders";"Sanders"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Bill de Blasio";"de Blasio"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Jim Webb";"Webb"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Lincoln Chafee";"Chafee"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?";"Al Gore";"Gore"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Donald Trump";"Trump"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Marco Rubio";"Rubio"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Jeb Bush";"Bush"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Rand Paul";"Paul"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Chris Christie";"Christie"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Scott Walker";"Walker"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Sarah Palin";"Palin"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Mitt Romney";"Romney"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Lindsey Graham";"Graham"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Mike Huckabee";"Huckabee"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Ted Cruz";"Cruz"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Bobby Jindal";"Jindal"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Rick Perry";"Perry"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Rick Santorum";"Santorum"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"John Kasich";"Kasich"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Paul Ryan";"Ryan"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Susana Martinez";"Martinez"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Ben Carson";"Carson"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Mike Pence";"Pence"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"Carly Fiorina";"Fiorina"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?";"George Pataki";"Pataki"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Donald Trump";"Trump"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Hillary Clinton";"Clinton"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Marco Rubio";"Rubio"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?";"Jeb Bush ";"Bush"
