"V1";"V2"
"Will Republicans increase their majority in the U.S. House?";"Will Republicans increase their majority in the U.S. House?"
"Will the Democrats keep control of the Senate?";"Will the Democrats keep control of the Senate?"
"Hillary Clinton";"Clinton"
"Joe Biden";"Biden"
"Elizabeth Warren";"Warren"
"Martin O'Malley";"O'Malley"
"Jerry Brown";"Brown"
"Bernie Sanders";"Sanders"
"Bill de Blasio";"de Blasio"
"Jim Webb";"Webb"
"Lincoln Chafee";"Chafee"
"Al Gore";"Gore"
"Donald Trump";"Trump"
"Marco Rubio";"Rubio"
"Jeb Bush";"Bush"
"Rand Paul";"Paul"
"Chris Christie";"Christie"
"Scott Walker";"Walker"
"Sarah Palin";"Palin"
"Mitt Romney";"Romney"
"Lindsey Graham";"Graham"
"Mike Huckabee";"Huckabee"
"Ted Cruz";"Cruz"
"Bobby Jindal";"Jindal"
"Rick Perry";"Perry"
"Rick Santorum";"Santorum"
"John Kasich";"Kasich"
"Paul Ryan";"Ryan"
"Susana Martinez";"Martinez"
"Ben Carson";"Carson"
"Mike Pence";"Pence"
"Carly Fiorina";"Fiorina"
"George Pataki";"Pataki"
"Jeb Bush ";"Bush"
"Chris Christie ";"Christie "
"Michael Bloomberg";"Bloomberg"
"Gary Johnson";"Johnson"
"Jill Stein";"Stein"
"Evan McMullin";"McMullin"
"Tim Kaine";"Kaine"
"Antonin Scalia ";"Scalia "
"Anthony Kennedy";"Kennedy"
"Clarence Thomas";"Thomas"
"Ruth Bader Ginsburg";"Ginsburg"
"Stephen Breyer";"Breyer"
"John G. Roberts";"Roberts"
"Samuel A. Alito, Jr. ";"Alito"
"Sonia Sotomayor";"Sotomayor"
"Elena Kagan";"Kagan"
"Will Mark Udall be re-elected to the Senate from Colorado?";"Will Mark Udall be re-elected to the Senate from Colorado?"
"Will Pat Roberts be re-elected to the Senate from Kansas?";"Will Pat Roberts be re-elected to the Senate from Kansas?"
"Will Rick Scott be re-elected governor of Florida?";"Will Rick Scott be re-elected governor of Florida?"
"Will North Korea test a nuclear weapon before the end of 2015?";"More nukes from North Korea?"
