"V1";"V2"
"Will Republicans increase their majority in the U.S. House?";"More GOP in the House?"
"Will the Democrats keep control of the Senate?";"Will the Democrats keep control of the Senate?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Democratic presidential nomination?";"Who will be the 2016 Democratic nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 Republican presidential nomination?";"Who will be the 2016 Republican nominee?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
"Who will win the 2016 U.S. presidential election?";"Who will win the 2016 U.S. presidential election?"
